NAME,NETWORK,Zone,longitude,latitude
Temple,London Underground,1,-0.112643564,51.5104742
Blackfriars,London Underground,1,-0.102020251,51.51111447
Mansion House,London Underground,1,-0.092495313,51.51130597
Cannon Street,London Underground,1,-0.088801035,51.51096254
Monument,London Underground,1,-0.084502291,51.51020898
Tower Hill,London Underground,1,-0.074913869,51.50943419
Aldgate,London Underground,1,-0.0742363,51.51398203
Liverpool Street,London Underground,1,-0.081601363,51.5168424
Moorgate,London Underground,1,-0.087700241,51.5178533
Barbican,London Underground,1,-0.097189673,51.51969921
Farringdon,London Underground,1,-0.103582415,51.51996102
King's Cross St. Pancras,London Underground,1,-0.123168404,51.52927728
Euston Square,London Underground,1,-0.134270582,51.52512499
Great Portland Street,London Underground,1,-0.142685711,51.52333822
Baker Street,London Underground,1,-0.155454387,51.52249387
Edgware Road (Circle Line),London Underground,1,-0.166170742,51.51936413
Paddington,London Underground,1,-0.173789485,51.51499491
Bayswater,London Underground,1,-0.186322701,51.51181507
High Street Kensington,London Underground,1,-0.190607248,51.49993492
Gloucester Road,London Underground,1,-0.182135121,51.49397763
South Kensington,London Underground,1,-0.171564291,51.49357736
Victoria,London Underground,1,-0.141485017,51.49588954
Pimlico,London Underground,1,-0.132103672,51.48856954
Warren Street,London Underground,1,-0.136735811,51.52401887
Queensway,London Underground,1,-0.185538472,51.50974305
Hyde Park Corner,London Underground,1,-0.152546395,51.50224103
Knightsbridge,London Underground,1,-0.159863737,51.50073061
Leicester Square,London Underground,1,-0.126725567,51.51089472
Covent Garden,London Underground,1,-0.122759938,51.51263471
Russell Square,London Underground,1,-0.122662273,51.52255053
Earl's Court,London Underground,1,-0.19157701,51.4914734
Notting Hill Gate,London Underground,1,-0.194491212,51.5086469
Lancaster Gate,London Underground,1,-0.173843886,51.51117805
Marble Arch,London Underground,1,-0.155755638,51.51309055
Bond Street,London Underground,1,-0.148076884,51.51387033
Bank,London Underground,1,-0.08729695,51.51291511
Oxford Circus,London Underground,1,-0.140025246,51.51481046
Holborn,London Underground,1,-0.1188087,51.51706879
Chancery Lane,London Underground,1,-0.109960547,51.5177395
St. Paul's,London Underground,1,-0.095907533,51.51444286
Paddington,London Underground,1,-0.174388339,51.51605291
Embankment,London Underground,1,-0.120562428,51.50694137
Westminster,London Underground,1,-0.124052209,51.50045311
Euston,London Underground,1,-0.132992071,51.52757668
Waterloo,London Underground,1,-0.112818812,51.50291418
Green Park,London Underground,1,-0.140937126,51.50635747
Paddington (H&C Line),London Underground,1,-0.17719615,51.51800497
Piccadilly Circus,London Underground,1,-0.132081484,51.50955061
Charing Cross,London Underground,1,-0.125777173,51.50686754
Lambeth North,London Underground,1,-0.110624882,51.49833058
Edgware Road (Bakerloo),London Underground,1,-0.168645951,51.51996099
Marylebone,London Underground,1,-0.162637346,51.52165079
Regent's Park,London Underground,1,-0.144708117,51.52277011
Sloane Square,London Underground,1,-0.15473274,51.49182524
St. James's Park,London Underground,1,-0.132021543,51.49905006
Goodge Street,London Underground,1,-0.132736642,51.52009307
Tottenham Court Road,London Underground,1,-0.128897348,51.51594793
Borough,London Underground,1,-0.091702818,51.50067969
Old Street,London Underground,1,-0.086025441,51.52457628
Angel,London Underground,1,-0.103116359,51.5309796
Shoreditch High Street,London Overground,1,-0.074700292,51.52285471
Aldgate East,London Underground,1,-0.069540402,51.51491653
Southwark,London Underground,1,-0.103788452,51.50377646
London Bridge,London Underground,1,-0.088037808,51.50455372
Liverpool Street,London Overground,1,-0.080013644,51.51752768
Liverpool Street,TfL Rail,1,-0.081601363,51.5168424
TOWER GATEWAY - DLR,DLR,1,-0.073061976,51.51011047
BANK - DLR,DLR,1,-0.087316571,51.51286207
Euston,London Overground,1,-0.131403702,51.52774704
East Putney,London Underground,2,-0.209468663,51.45863492
Putney Bridge,London Underground,2,-0.207131382,51.46774182
Parsons Green,London Underground,2,-0.200166803,51.47447238
White City,London Underground,2,-0.222866489,51.51170695
Shepherd's Bush,London Underground,2,-0.217238899,51.50384346
Holland Park,London Underground,2,-0.204062863,51.50664438
Brixton,London Underground,2,-0.113288835,51.46215131
Vauxhall,London Underground,2,-0.122646146,51.48518446
Highbury & Islington,London Underground,2,-0.102125867,51.54691824
Caledonian Road,London Underground,2,-0.116864262,51.54801774
Holloway Road,London Underground,2,-0.111653531,51.55225038
Arsenal,London Underground,2,-0.105674399,51.55811105
Manor House,London Underground,2,-0.094452148,51.57024769
Shepherd's Bush Market,London Underground,2,-0.224700725,51.50558155
Goldhawk Road,London Underground,2,-0.225049873,51.50148234
Latimer Road,London Underground,2,-0.216257476,51.51295039
Ladbroke Grove,London Underground,2,-0.209304449,51.51681261
Royal Oak,London Underground,2,-0.186186162,51.51854003
Westbourne Park,London Underground,2,-0.199554267,51.52041239
Queen's Park,London Underground,2,-0.204142926,51.53347212
Mile End,London Underground,2,-0.032150165,51.52472507
Bethnal Green,London Underground,2,-0.053074702,51.52672839
Rotherhithe,London Overground,2,-0.050510094,51.50053752
Kensington (Olympia),London Underground,2,-0.208533266,51.49722528
Finsbury Park,London Underground,2,-0.105068129,51.56406609
Stockwell,London Underground,2,-0.121436641,51.47131386
Hammersmith (H&C Line),London Underground,2,-0.223334507,51.49327356
Kensal Green,London Underground,2,-0.222882378,51.5300656
Elephant & Castle,London Underground,2,-0.099577259,51.4953253
Warwick Avenue,London Underground,2,-0.182005998,51.52269118
Maida Vale,London Underground,2,-0.184228557,51.52922219
Kilburn Park,London Underground,2,-0.192420271,51.53444139
Ravenscourt Park,London Underground,2,-0.234181724,51.49365752
Hammersmith (Dist&Picc Line),London Underground,2,-0.22144689,51.49148885
Kilburn,London Underground,2,-0.203115567,51.54644842
West Hampstead,London Underground,2,-0.188568627,51.54629707
Swiss Cottage,London Underground,2,-0.173237239,51.54319998
Finchley Road,London Underground,2,-0.179489511,51.54672589
Archway,London Underground,2,-0.13344404,51.56403452
Clapham South,London Underground,2,-0.145610374,51.45272059
Clapham Common,London Underground,2,-0.135588991,51.46169503
Clapham North,London Underground,2,-0.127754372,51.4652144
Belsize Park,London Underground,2,-0.163016956,51.54982085
Hampstead,London Underground,2,-0.17692039,51.55608598
Mornington Crescent,London Underground,2,-0.137143461,51.53419787
Chalk Farm,London Underground,2,-0.151037017,51.54335257
Camden Town,London Underground,2,-0.141016888,51.53872412
Kentish Town,London Underground,2,-0.13914119,51.54978865
Tufnell Park,London Underground,2,-0.136858377,51.5563398
Oval,London Underground,2,-0.110799082,51.48132384
Kennington,London Underground,2,-0.104357247,51.48782707
East Acton,London Underground,2,-0.245569272,51.51609001
